AcX,AcY,AcZ,GyX,GyY,GyZ,bpm,label
-10944,-5068,100,-1279,-8868,-3628,68.1,
-15312,-16004,2400,3501,-16926,7104,67.2,
-18456,-15660,3532,-30380,-26831,19167,66.5,
-13060,-12380,12836,-6752,-24348,-1750,64.9,
-10808,-9336,1156,-11772,-26496,-8717,68.5,
-2252,-9088,204,-13388,-24086,-6411,65.4,
23496,-8188,-10032,-1719,-20142,12503,61.8,
19700,-27464,-1196,-24784,5380,-7127,66.1,
5020,-14624,-4228,-5957,5613,-2997,68.0,
-4924,-15044,-5800,-10841,-4905,7570,67.5,
5484,-21172,-5856,-1548,-2784,16013,66.7,
4332,-15532,-7504,10089,-420,3966,59.5,
4452,-14472,-5344,5713,-5330,7590,67.0,
-10824,-13516,-1424,22537,-9498,9464,68.1,
-10144,-9268,6184,11081,3347,5221,69.7,
-14012,-7488,3732,13020,-5062,-12656,61.8,
-32768,-15128,-2756,12927,-15373,-32768,65.0,
-32768,-8056,2136,-8364,-16102,-32768,64.2,
-27460,-13640,180,18961,-7867,-32768,67.9,
-17424,-308,-3200,12713,-13036,-23491,66.5,
-8828,-3712,-828,-8190,-7145,-15823,66.5,
-5076,-3472,1876,-4585,2656,7128,63.5,
-9608,-2612,460,139,16734,32767,63.9,
-26448,-16072,8000,-4573,17131,32767,81.3,
-8236,-13072,4080,4817,-3564,-10359,67.0,
-23756,-11680,2352,17535,-2598,-18740,65.0,
-16536,-6760,728,12846,-6346,-18678,70.0,
-16764,-4760,-340,819,-8737,-12591,63.7,
-13788,-7932,3448,-10753,-5142,-10586,72.0,
1276,-7060,-1628,-11771,-496,-6222,70.9,1.0
3500,-18532,-1356,-8747,23257,-5062,67.1,1.0
-9636,-18460,-424,-3503,31683,-10164,51.3,1.0
-7768,-9364,-992,-2954,26610,-9911,69.4,1.0
276,-2580,-3072,-6663,14700,-6194,68.6,1.0
-10564,-15180,-22136,-13767,32767,16352,55.3,1.0
11872,-3956,-19604,-14359,10974,-6901,67.1,1.0
-11428,-32768,-19380,-9664,32767,-25830,56.1,1.0
-1364,-13852,-6740,-1718,32767,-12761,79.5,1.0
31352,-6312,8440,32767,23153,-32367,74.2,1.0
14968,9736,5360,-15297,32767,-30075,70.4,1.0
-3000,4412,-1416,5160,26893,-21504,73.3,1.0
-8008,1048,4380,14034,13741,-17800,66.7,1.0
-11124,10024,2292,-3620,-11279,-23074,65.8,1.0
-10116,2228,5372,-18410,-17492,-19439,69.7,1.0
-26764,-3696,32684,-29537,-16211,-10319,60.1,1.0
1128,-5212,14368,-10536,86,-10634,76.5,1.0
-4208,-15508,12220,-7496,-3453,-6683,67.6,1.0
-2828,-9096,9920,-4477,-3532,79,64.9,1.0
-1544,-11576,12420,-3814,-3571,1845,64.9,1.0
-1788,-11032,12772,-263,619,1661,60.3,1.0
-2620,-11496,11184,318,1390,2229,101.2,1.0
-3276,-10008,11116,353,-873,2082,66.5,1.0
-2928,-11728,11964,-522,-1501,3089,75.3,1.0
-3168,-10084,12472,728,319,2736,70.1,1.0
-4768,-10120,12868,2773,-794,2110,81.7,1.0
-4788,-6452,11940,1674,236,1920,64.4,1.0
-5220,-8040,11736,-1491,-609,2290,91.6,1.0
-5016,-8052,11648,948,299,2208,70.1,1.0
-5296,-7428,13992,3427,1134,2983,70.5,1.0
-6636,-6056,11584,3361,1704,4280,75.4,1.0
-6812,-4664,11868,1491,1181,4268,86.4,1.0
-7972,-4604,14268,5802,1928,2805,74.8,1.0
-8328,-2220,11948,9666,2113,1031,75.2,1.0
-8048,2528,10280,8683,2342,-1736,75.5,1.0
-7860,2108,14060,-4096,-1679,468,83.6,1.0
-8072,-1812,14188,-115,-11,-887,78.5,1.0
-8724,468,12088,1006,517,-743,68.2,1.0
-9232,-176,12376,-515,-77,179,71.7,1.0
-8188,312,13488,1238,-455,-316,69.8,1.0
-8460,1172,12756,472,-716,-335,72.0,1.0
-8656,1352,12556,-1098,-478,-115,79.0,1.0
-7844,976,13076,-2246,-540,-194,70.6,
-8316,888,12964,-6186,-1592,666,73.7,
-8024,-1900,13448,-5526,-766,848,58.0,
-8300,-2236,13224,-3357,-565,774,67.1,
-7628,-2996,12788,-1608,-149,597,65.5,
-8128,-2104,13780,1921,94,-367,63.5,
-7696,-656,12436,2326,-46,67,62.8,
-8412,-1560,13128,-194,-618,288,70.7,
-7776,-1112,13152,534,-959,27,68.2,
-7568,-1160,13692,337,-690,234,66.9,
-7164,-1240,14164,1199,656,-100,75.4,
-7728,-740,13060,564,453,-46,62.0,
-8216,340,13180,-75,530,244,71.7,
-7824,-384,13512,-2557,-342,-3,67.7,
-7852,-660,12780,-1737,-324,-405,63.0,
-7628,-2288,12712,-3241,-634,210,61.2,
-8108,-2180,13024,-1497,-283,289,68.4,
-7536,-1728,14344,-438,-611,369,73.4,
-8128,-900,12904,-108,-109,-4,70.0,
-7952,-1856,13020,-310,-838,251,58.7,
-7748,-2536,14320,2532,137,148,65.7,
-13164,-1004,15344,8949,-245,-831,70.7,
-11640,956,12680,6616,-63,1383,64.8,
-9172,2260,10840,10929,-3390,6443,66.3,
-5636,6308,9996,4755,-7127,11570,70.1,
-2324,6536,13836,666,337,15966,70.5,
-3332,8260,11832,8048,-1627,23317,55.9,
-5456,8272,6548,5859,-7955,30063,64.0,
7292,-100,7484,6278,-13363,32767,61.6,
13624,-60,2448,3448,-14779,32012,69.7,
27696,-17872,840,3284,1201,18705,77.0,
8764,-5768,2496,4805,-2852,7501,64.2,
16384,-9932,1408,-11947,-1368,9088,68.2,
10212,-12212,96,-3680,-1368,9834,62.9,
16568,-11192,56,590,1565,4909,61.1,
11268,-11684,1080,1422,3544,3280,71.7,
13360,-12324,5276,6575,1962,1969,65.8,
9392,-12676,4640,9448,79,451,62.4,
10720,-8904,4756,10225,5565,8742,69.6,
12456,-17348,10956,12103,14504,19085,67.8,
6180,-8612,8884,10963,19095,12428,71.4,
2148,-5132,13964,8970,14250,3438,69.1,
-684,-9272,14376,-3811,9423,6416,66.2,
-2368,-13520,16408,10413,180,-3760,67.6,
-3192,-9128,13892,10415,-5088,-7906,68.0,
-6904,-5644,12920,18659,-188,-8660,67.0,
-16324,1284,8064,7963,-1304,-385,65.3,
-12436,480,9840,-473,3365,-2090,69.0,
-5812,888,3932,335,9661,-2655,62.1,
-2088,-2620,3200,-7229,22026,-12461,63.5,
-18024,-6444,9060,-6809,32767,-12252,67.9,
-26972,-10424,208,-5309,21699,-200,71.8,
-22612,-6676,268,-3280,8390,-1319,70.4,
-18700,-8856,-12656,-943,-4071,4259,69.3,
-15724,-1184,-3532,4154,11126,-1157,71.8,
-9176,-3152,-372,859,3311,130,64.9,
-7220,-4196,976,10563,644,-1861,60.3,
-9080,-4848,-732,14338,-3786,1102,67.1,
-16596,-11272,-3024,18461,-10545,1867,62.8,
-11700,-11348,-3268,1666,-9404,1594,64.5,
-8480,-9972,-956,6262,2787,-3362,76.5,
-9912,-12828,616,13417,5664,4903,63.5,
-15180,-10600,3000,26957,2949,5104,75.6,
-14476,-384,-888,6421,4535,5298,68.5,
-14672,2804,-2844,13615,13223,3307,67.8,
-14100,-3252,1040,21058,19119,2370,65.6,
-16144,3004,-888,16722,12190,-5637,64.0,
-14324,-968,2560,614,1324,-1489,67.6,
-14524,-3240,3264,4751,-8559,-91,60.7,
-30772,-7684,1536,-15339,-16378,11544,64.1,
-19372,-9316,2724,-32768,-20958,-13977,70.8,
-19116,-14936,4072,6819,-2407,-32315,66.0,
-15832,-2228,-1616,32767,-404,-26288,66.1,
-7916,-4484,1036,-6323,33,5599,70.0,
-12600,-7252,2256,2859,3978,16364,67.0,
-20220,-8632,-6076,-32768,-2772,32767,65.1,
-16980,-25200,11460,3491,3091,31229,61.6,
-16328,2244,-148,32767,18431,4004,67.3,
-13152,-6564,4576,-26593,2686,5877,66.7,
-11488,-8588,10356,5150,1665,-290,67.1,
-16204,-4476,5368,3646,-4639,-8550,65.1,
-16516,-6896,3600,4145,-15062,-13978,65.7,
-21280,-6404,1448,-3457,-18258,-17906,55.0,
-9820,-8656,3476,-23521,1359,20053,66.7,
-20012,-9424,380,-1048,7148,26072,68.0,
-18448,-9056,10100,-7731,8691,19601,65.3,
-13724,-10424,2104,-27239,526,17944,71.0,
-13032,-13820,6220,2100,5514,2969,67.5,
-14624,-2948,3716,-4648,-5617,-12448,66.4,
-23760,-7060,1372,-12681,-11899,-27679,63.1,
-17112,-8352,7300,-3201,-5287,-25709,60.8,
-12316,-3160,-2360,4624,-12052,-13694,63.5,
-12228,-7152,2336,-779,-10151,8363,64.7,
-15516,-3720,-2492,-19227,-14570,23948,79.9,
-18632,-13480,-1948,-32768,-18049,28160,65.6,
-19724,-14748,2088,13551,-6094,25744,66.0,
-16028,-3032,-572,51,755,13108,68.8,
-12568,-6180,-1092,-16984,-1447,5173,65.6,
-12320,-5800,1016,-14111,3439,4402,68.6,
-13540,-4936,6524,4296,10779,-586,63.5,
-16340,952,5032,-1574,6820,-1421,62.9,
-15024,-500,5724,-9777,875,-1950,74.2,
-14060,-5060,5224,-6224,-3841,350,63.8,
-17848,-4908,1768,-6372,-13997,-15043,80.1,
-14956,-7220,1476,-7054,-10381,-15502,65.8,
-11924,-5596,2424,-793,-3900,-8292,65.0,
-10164,-5516,3068,4072,2526,1886,62.5,
-14156,-5388,3956,4577,7937,14250,70.4,
-25584,-6644,192,-9203,7595,20713,64.2,
-13336,-8700,5476,-7046,8399,13633,67.9,
-17360,-2144,860,3081,8140,5333,68.2,
-12772,-1748,3468,-13645,1960,3123,73.9,
-14272,-5044,5816,-5162,1335,3119,73.2,
-15072,-4992,1720,5767,-11142,-9700,64.8,
-24088,-7184,1152,-674,-15949,-16998,66.5,
-15840,-5828,1160,-9729,-13608,-17902,67.7,
-11624,-6484,832,2111,-4585,-12538,68.4,
-10228,-4832,556,2632,1811,-858,63.3,
-14908,-5896,2540,5570,8826,10647,71.1,
-23676,-868,-3228,-26862,7410,32767,63.0,
-17456,-13004,8520,26221,15512,21398,67.1,
-15416,4524,1040,8214,10046,2658,68.0,
-11924,-6272,6144,-19531,-996,4283,69.7,
-12084,-3268,5900,7933,32,-3212,65.4,
-16264,-6296,3468,9903,-3749,-6319,68.2,
-28364,-9964,6204,5091,-7423,-8447,70.5,
-29332,-6912,316,6947,-17323,-20109,65.4,
-15980,-4452,1408,-10164,-17085,-24650,61.8,
-10932,-6672,-216,-665,-7066,-18078,75.8,
-7228,-3892,-844,-1935,-798,-1356,65.8,
-11032,-6732,2276,10895,10383,14534,72.2,
-26820,-8620,4500,-6427,17866,32767,68.1,
-19604,-5648,3256,19883,20919,19398,65.8,
-26960,-9324,5928,5318,-7403,-10048,65.9,
-25180,-6684,1580,5405,-16858,-21813,66.7,
-19040,-4712,944,-5667,-18970,-25153,66.7,
-12268,-7288,1100,-2718,-9256,-19936,65.4,
-8768,-3260,184,3553,-4160,-8144,64.8,
-8752,-4692,2264,1609,2340,7195,68.8,
-24608,-7884,0,-10590,8222,31227,66.9,
-20240,-11768,9436,-3536,13872,32767,67.3,
-17332,-5360,1528,12481,14852,12202,65.9,
-14640,-7340,6376,-19116,5947,7281,68.1,
-12356,-5400,9100,10610,4216,286,55.2,
-29184,-7344,6716,4347,-10255,-6966,67.7,
-23444,-5904,2892,1086,-17194,-19634,67.9,
-17936,-5376,2212,-4861,-18858,-20543,61.5,
-14452,-7084,1172,2722,-10906,-18385,68.4,
-10924,-3184,504,-654,-7396,-9556,60.4,
-9064,-5408,3480,-2726,676,4183,81.0,
-9668,-6560,4732,-1779,8744,24650,62.0,
