AcX,AcY,AcZ,GyX,GyY,GyZ,bpm,label
-18896,-8284,-2996,-32768,-32216,-3643,67.1,
-19252,-8280,-2424,-29684,-24792,-14078,61.5,
-12868,-8252,3920,-19447,-12268,-10613,67.9,
-11448,-3364,1096,10108,-5197,-2036,67.0,
-18100,-7516,604,-8823,-5365,24115,64.9,
-17276,-9804,872,-28981,-17510,29222,68.3,
-18784,-12448,-304,-12195,-16283,25491,70.5,
-14136,-7824,-1244,-24764,-11312,18380,69.3,
-12864,-9100,80,-4841,-261,9466,68.7,
-12736,-4232,-72,-10905,7156,5708,59.8,
-13748,-6136,1724,-3546,14304,5961,68.0,
-16156,-2376,-816,-23455,9021,10533,58.4,
-15376,-9760,12936,-4386,12126,3931,67.3,
-15464,768,6940,-5779,3178,2003,66.5,
-16792,-6244,6620,885,-6693,-4893,68.0,
-20564,-6232,1348,-3823,-19943,-14652,75.5,
-15804,-6212,132,-6641,-15529,-14380,65.2,
-10556,-5840,1108,-3261,-5084,-11409,68.3,
-9076,-6496,2788,8294,6623,-1888,69.0,
-13536,-4220,2872,14072,14586,8285,65.8,
-21156,-2500,3604,-15668,12514,20642,62.9,
-18080,-8504,4004,-18979,7522,21823,64.1,
-16004,-6736,6136,-8055,7227,13705,69.3,
-13040,-5348,6308,1476,6160,5569,69.6,
-12328,-4432,7336,4923,1313,1471,62.5,
-21492,-7560,1884,-637,-12964,-18860,66.7,
-18736,-6300,1656,-1063,-12845,-20510,86.7,
-14196,-7676,608,5299,-4747,-17493,62.7,
-13220,-5680,368,11155,581,-9152,61.7,
-13128,-2860,1244,7680,5234,-194,63.0,
-14940,-6064,1648,-18945,4856,18459,66.3,
-18108,-8792,4568,-8220,11519,26538,78.1,
-19192,-7436,4340,1031,14674,20358,68.7,
-15428,-5084,3876,-1427,9110,4858,67.1,
-11936,-7312,9816,1088,5351,1657,66.3,
-16392,-3632,5784,6423,-3491,-4989,69.1,
-18808,-5780,3200,-1506,-18626,-6888,68.6,
-25848,-7064,908,-5417,-22985,-18807,69.8,
-16136,-6312,1632,-8708,-16612,-23694,55.9,
-12896,-6344,128,4579,-6708,-16273,66.7,
-10320,-4044,1220,7477,-896,-4124,68.3,
-16780,-3940,224,-7192,3028,15749,64.6,
-14616,-11120,5944,-8679,10381,29220,66.4,
-18236,-8964,5288,3990,18147,26369,75.8,
-16060,-6076,7536,4126,15813,14810,70.1,
-20856,-4908,1668,5803,-18558,-17317,67.6,
-14696,-5784,1240,-7275,-15014,-18356,58.0,
-11720,-4568,0,-1782,-8382,-13114,69.1,
-10084,-5112,2680,332,-527,-763,66.4,
-9092,-5868,5500,-7778,6290,23551,64.2,
-22020,-9228,5996,916,14022,28220,71.5,
-17232,-6864,9556,-3752,11517,21092,68.7,
-12828,-6560,8232,5345,6082,8222,73.7,
-12888,-7264,6604,-270,-1484,-997,65.1,
-26688,-9760,2264,1449,-4809,-9139,64.3,
-21976,-8780,-320,2543,-4377,-23204,61.4,
-14696,-8580,536,586,-287,-25385,71.1,
-12932,-10136,284,9324,-605,-22565,68.4,
-8820,-14764,4912,-5879,-4969,-12892,63.4,
-7996,-13492,3892,-3757,-4556,-8209,69.4,
-3620,-10828,10432,14723,-6467,-5807,68.1,
-2432,-15188,8212,7185,-12960,571,67.6,
2548,-11564,7596,9657,-10977,2959,60.6,
4088,-8752,6596,11457,-4484,5247,63.2,
1832,-12276,9668,3149,199,4582,69.2,
-6720,-9840,15304,-4642,-718,2351,62.1,
-2300,-15376,9372,-7234,-6144,5989,67.7,
-1740,-11900,8728,-7023,-7688,7507,66.9,
-1276,-16320,9236,-1390,-16619,12136,71.2,
-348,-14800,5956,10510,-18777,16160,67.0,
-1880,-14436,9316,8593,-12950,29153,67.8,
1496,-6628,10756,-6705,-13491,24661,64.4,
-40,-8004,10492,-10569,-12850,21262,65.3,
-3352,-8692,5368,-9587,-1157,23712,69.0,
-9232,-10144,6112,-12963,6850,27650,62.6,
-24020,8044,-6828,-32768,4042,30953,65.1,
-14516,-14484,3052,13695,742,20851,68.6,
-13216,-7084,3592,34,4078,-435,61.6,
-13236,-8904,2960,-3077,-1037,-8733,60.9,
-17264,-9792,4124,4680,-1548,-13441,64.1,
-19916,-5068,1128,13042,-4293,-16075,62.8,
-14308,-6004,832,6227,-5743,-15609,66.0,
-14584,-1696,212,24608,-2432,-10675,68.3,
-14220,-4408,1740,-7478,-5436,9536,60.5,
-19324,-6608,-736,-28483,-7506,16046,67.8,
-14328,-6428,3856,-746,8463,14047,77.6,
-14332,-6256,6084,9917,9835,9468,65.8,
-13904,-6148,8228,631,2491,4604,71.8,
-21684,-8324,5252,1232,-3350,-5371,65.1,
-13228,-6380,3252,4641,-9141,-15134,75.0,
-20616,-6600,1484,5083,-11041,-13369,67.3,
-14260,-6936,1736,3541,-7169,-11296,62.7,
-13240,-4668,112,7478,-4771,-7864,67.5,
-13592,-5160,1848,-2307,-1953,-2514,70.8,
-18936,-4908,1084,-12657,733,11244,72.9,
-16996,-6372,3604,310,10725,17409,70.9,
-15880,-6384,6120,1869,11686,14502,68.6,
-13332,-5188,7904,4262,10003,5862,59.1,
-13588,-4144,8432,5261,3843,2473,68.1,
-18292,-5936,4400,-3841,-3652,-5583,61.4,
-13468,-7940,4132,-952,-9710,-13929,62.6,
-20640,-6484,1120,7540,-12626,-16145,69.5,
-14696,-6320,1316,2618,-8992,-17647,70.3,
-14412,-4792,660,6173,-4427,-10714,66.3,
-13296,-5004,2276,2016,601,-202,69.5,
-10812,-4828,2956,-19264,4286,22141,81.4,
-17740,-8848,5076,4463,11619,21220,65.3,
-15628,-2588,5344,-4040,12195,12460,70.2,
-14692,-6872,8164,-4097,7519,5712,70.7,
-12564,-3468,8064,3906,2038,-1278,66.9,
-23328,-7916,7632,-2698,-3273,-6533,69.4,
-20308,-7700,3628,5170,-11357,-15326,69.4,
-18368,-4208,1040,795,-17360,-19088,70.3,
-13724,-6496,948,-4433,-10841,-19899,67.5,
-11500,-4384,40,979,-4062,-9595,67.3,
-13632,-4636,3176,9295,5654,8714,64.2,
-12424,-4760,4984,-17579,7637,27417,66.9,
-20276,-8248,3952,5432,11424,23107,69.9,
-15328,-5132,6132,-794,11710,10160,61.9,
-12660,-6324,8516,1613,8314,3989,68.0,
-13128,-3000,8068,6599,2200,-792,64.8,
-20240,-6952,5924,-1570,-7225,-6110,64.9,
-24060,-8888,4612,8074,-13001,-15163,63.3,
-20308,-3332,1232,1174,-21164,-20526,71.9,
-15516,-6552,1136,-7919,-15088,-22681,69.7,
-10924,-4988,876,-1998,-2120,-5301,68.4,
-16336,-6420,2756,-2010,5209,14016,56.2,
-12096,-4544,4180,-2714,10364,27470,67.5,
-19784,-9704,4900,-20679,4986,31481,71.5,
-15296,-13772,4696,-2784,7737,20937,70.6,
-12176,-7028,6204,8650,8384,5743,64.1,
-14600,-7948,7460,-5511,-1869,-7430,65.6,
-15284,-4120,4564,-2544,-14055,-21749,68.8,
-29260,-9640,1892,-4123,-17379,-31522,61.6,
-13764,-5412,3060,-13615,-12835,-26251,68.1,
-8148,-8084,1984,9283,-9229,-626,70.1,
-8604,-10396,2308,15044,-4022,13519,64.0,
-13868,-17968,2488,-16999,-9035,32767,56.0,
-12888,-14844,2780,-24938,-8445,27671,69.4,
-13384,-11476,5772,2392,-5457,21884,66.6,
-10340,-7704,-460,-32726,-9040,14215,59.0,
-10832,-12260,3728,-8768,723,11926,68.1,
-13512,-5864,2764,-14072,8866,14389,61.2,
-16460,-7724,4852,-19980,12100,11040,70.4,
-15712,-5800,7084,-796,9784,3810,73.6,
-13908,-2564,9208,5408,2451,-3334,69.9,
-22180,-3952,8600,18596,-6720,-1811,64.2,
-21632,-5056,3916,1865,-18980,-4873,60.6,
-24036,-4728,532,-14105,-29729,-9858,72.8,
-14748,-9068,1072,-20579,-20955,-20871,63.2,
-6460,-5564,3548,5432,-4229,-14696,66.6,
-4712,-4068,3964,14029,6467,-512,60.1,
-10624,-3580,3940,4953,14490,11747,64.7,
-23052,-6184,3680,-23222,16324,26856,61.4,
-21216,-13300,7964,-8542,16792,29801,63.1,
-12012,-6072,7756,6485,-524,-2608,70.8,
-12524,-4608,3768,2444,-4076,-5983,63.7,
-9972,-5996,3540,2598,-6474,-11676,60.6,
-11196,-7132,948,10975,-8240,-15765,70.8,1.0
-23856,-6288,1904,11567,-12688,-12240,67.0,1.0
-9452,-12472,6004,17325,-9429,-8696,71.3,1.0
308,-2960,8140,15196,-10123,-9822,71.3,1.0
-32768,1772,4964,20670,-9667,10440,66.3,1.0
-32768,-32768,32767,6721,-7239,-22382,57.9,1.0
3712,-5988,32767,784,5192,-6992,57.7,1.0
-5720,-4732,3700,-4216,10588,-259,57.7,1.0
-15792,-3068,14752,-12154,8618,5524,57.7,1.0
-17296,-2004,15000,-11856,11595,11600,57.7,1.0
-19376,-12772,7592,-6642,18819,28594,69.2,1.0
-10136,4472,-4016,-8964,10019,20621,62.7,1.0
-12408,20104,-11152,-21582,-10692,10799,62.7,1.0
-13308,5716,3628,-23546,-16186,16617,64.1,1.0
-23360,12264,8628,22479,-13178,13763,60.7,1.0
-8624,800,5508,-657,-32768,32767,69.4,1.0
8044,1032,-8252,10822,-31764,32767,69.4,1.0
18576,-7496,-11876,-8802,-26140,28381,95.1,1.0
10440,-6860,-14448,17804,-15293,18964,67.3,1.0
12296,-14368,-13528,1247,-9568,3499,67.3,1.0
10148,-8864,-16956,-29835,-10886,8064,77.6,1.0
7204,-3964,-14436,-7521,-7696,-11,69.9,1.0
8172,-2412,-17736,-1807,-3061,-1000,69.5,1.0
8144,-3420,-14892,-5140,-364,1123,75.1,1.0
8172,-188,-16592,-4972,569,412,75.3,1.0
7916,-504,-15360,-1529,1110,1864,74.3,1.0
8048,-308,-14764,-1500,272,1060,71.0,1.0
7740,-788,-14436,-5247,-3413,1582,74.6,1.0
8280,1052,-14264,-3115,-3964,-55,68.3,1.0
6396,684,-18328,-16816,-4562,1445,73.8,1.0
5336,4340,-14268,-1576,-3388,-116,91.2,1.0
4700,5328,-15036,-1218,-4563,403,69.2,1.0
3296,5392,-16992,4856,-5070,664,73.9,1.0
2420,4392,-17220,-4243,-5196,2180,77.1,1.0
1888,4184,-16592,-1074,-3691,2805,83.9,1.0
1272,3820,-17280,933,-2769,1974,75.8,1.0
1240,3176,-16384,-2044,-2132,880,75.9,1.0
596,3904,-16888,-1224,-950,-130,76.1,1.0
860,3532,-15532,-1578,-912,11,81.6,1.0
144,4036,-16600,1270,-1068,-264,74.2,1.0
144,4240,-16772,-582,-8,225,79.2,1.0
380,3904,-16544,-1419,-148,179,73.6,1.0
380,4232,-16392,-734,-124,17,72.5,
224,4088,-16516,13,-436,198,63.8,
64,4960,-17172,-2311,-383,414,68.4,
148,4496,-16648,51,-137,-165,78.5,
68,4300,-16724,-738,-233,72,65.6,
356,4168,-16224,-23,-282,72,66.3,
-64,4852,-16908,15,-369,119,75.7,
-88,3824,-16548,1494,-444,658,65.1,
228,3636,-17040,330,-346,343,66.3,
116,3496,-16856,-419,-16,-212,66.7,
84,3616,-16628,-1256,-23,-125,59.3,
32,3908,-16684,-544,-48,-97,58.3,
-112,4220,-16588,-228,-233,176,70.7,
220,3688,-16616,-772,-13,-82,66.2,
4,4168,-16420,-523,-291,-8,69.3,
220,3580,-16492,-1119,-72,186,64.2,
-56,4464,-16736,-133,-201,107,63.0,
40,3964,-16856,-30,-206,62,76.8,
96,4136,-16628,-336,-62,31,59.7,
76,4268,-16828,-320,-138,218,62.8,
200,4080,-16704,-239,-128,-76,66.9,
-228,3880,-18872,-1092,978,-1102,72.9,
-472,5464,-24060,4982,9356,-1987,68.9,
-404,4216,-25832,3158,30145,594,77.2,
11152,6704,-18920,2922,31553,-4810,69.6,
2996,7732,3980,13885,32767,-2360,70.8,
-10520,7244,15920,17860,30597,5505,61.6,
-4328,18144,7468,-22293,-1584,17555,63.1,
2020,4140,10212,-20215,-1249,30826,66.7,
-2108,-16400,13180,-22586,4255,32767,68.2,
-7524,-13156,13112,4555,14151,25939,62.9,
-4728,-10188,14244,9772,10832,8923,64.1,
-11688,-8684,9348,13945,20844,-1175,67.1,
-13856,-1996,8516,11140,17143,-2495,70.2,
-17972,3076,3080,19952,19724,99,67.0,
-14176,-16384,2552,-5944,13676,1541,62.2,
-18404,1800,-8464,-9492,5025,3103,59.0,
-16892,-14068,-520,-9678,4113,2414,62.8,
-16728,-9496,-148,-23738,-15570,-7222,62.3,
-19032,-10240,2480,-23146,-16529,-14134,66.1,
-26800,-6508,1676,-10373,-9913,-16426,66.0,
-18252,-8048,2356,3138,4448,-19444,63.6,
-8260,-1092,1092,5707,1426,-12430,79.8,
-4868,0,-772,-2632,630,-6175,65.8,
-9340,-5192,-300,-4973,-1376,7096,69.5,
-13456,-16220,1448,5978,-9115,18815,64.9,
-9632,-11168,292,-27476,-13192,16352,68.5,
-11032,-14060,3452,-11844,-5130,13168,70.5,
-13208,-3896,-5072,-6128,-4212,13508,62.2,
-7292,-9012,-3912,-1309,2616,16960,66.7,
-17872,-8804,-5416,-12491,12720,13704,59.1,
-16472,-8340,-4044,-16686,13087,-9721,67.4,
-16940,-7440,2972,-24222,9864,-7772,66.7,
-21980,-2684,15348,-13147,-1113,-7078,63.2,
-19912,-3556,5192,-32768,-25555,-8507,69.5,
-24096,-11472,2780,-16077,19319,32767,81.0,
-15844,-13088,8684,7982,18512,18173,66.7,
-13800,-3152,11084,3895,7071,4383,66.0,
-13888,-5396,7920,-8249,-9384,-7222,65.7,
-20812,-7800,3684,-1613,-18618,-16954,60.8,
-27704,-7348,2032,-2140,-21567,-24583,66.6,
-16064,-6736,2536,-1130,-13801,-25242,63.2,
-12144,-4252,-32,5066,-9852,-15773,63.3,
-8632,-4336,1356,-2722,-3370,-2238,69.0,
-18216,-5604,596,-3741,6731,18619,70.2,
-18888,-7560,4712,7246,20661,30447,69.5,
-20952,-7888,4504,-6294,18940,26721,66.2,
-15220,-8872,7112,19320,18701,3451,60.2,
-14264,3092,8432,360,4445,-1787,60.2,
-14640,-4588,7844,-1795,-7607,-3839,80.1,
-18212,-6188,4824,5500,-17881,-7123,63.6,
-30040,-6880,-588,-2859,-24950,-11308,66.3,
-15364,-5932,1036,-20012,-18373,-22610,55.6,
-13140,-7864,28,6134,-5040,-19128,65.5,
-9268,-3444,-624,5770,-412,-5963,69.1,
-20000,-2756,12224,11187,25691,23640,68.0,
-15812,-7264,15424,11809,13810,16535,68.1,
-13024,-4572,9860,10056,98,3690,64.4,
-13860,-8768,6072,9977,-9578,-4940,56.8,
-25512,-6736,-5440,10262,-17929,-8588,69.8,
-14440,-4512,-2232,15747,-1302,-16859,62.5,
-18716,-5060,-8300,2903,1532,-11957,66.5,
-15764,-8256,-3140,-1678,6179,-7245,74.4,
-17844,-9952,-2284,31730,20133,-18046,70.5,
-16188,-7220,1644,32767,16616,-21751,73.2,
-17560,-5384,2764,-1107,-557,10499,77.1,
-16824,5240,-3168,-7885,-3548,14596,61.8,
-14488,-7152,5460,4485,5492,12651,66.1,
-14880,-3476,2856,25883,13572,7887,61.8,
-14360,-2060,5716,3695,5628,3479,67.4,
-13416,-3772,5576,1259,-1563,-4066,68.1,
-20944,-8264,4876,1309,-5149,-4687,60.6,
-18172,-7660,2248,6232,-10224,-13068,62.0,
-20584,-6256,1536,-1361,-15642,-16942,74.4,
-15772,-7020,1624,1394,-11579,-19000,80.5,
-11732,-4756,1764,9236,-3073,-10665,65.8,
-11420,-4788,2792,10735,10152,-2324,65.9,
-15976,-5724,-912,-6772,11914,15121,66.1,
-15832,-10196,5032,-2912,18401,14382,75.6,
-18548,-8908,3304,3622,20156,10894,67.7,
-16560,-3076,2580,-7365,12702,4092,64.1,
-15088,-3160,5880,-13003,4182,2427,67.1,
-14940,-2780,7516,2283,-813,300,67.5,
-22220,-5692,6020,5004,-8413,-920,68.6,
-18832,-6984,1712,714,-18434,-6292,66.3,
-17756,-5704,688,-7715,-20042,-16623,66.0,
-14920,-5952,-276,-7008,-12839,-19677,70.7,
-12840,-4896,1868,923,-2984,-12226,61.6,
-16744,-2836,828,2289,4469,6603,69.8,
-12724,-6532,5144,-8985,10207,24527,64.7,
-22464,-7500,2444,2351,14630,25062,79.0,
-18716,-7668,6296,-1562,16578,15026,67.8,
-16092,-4064,7076,1731,13015,6271,67.9,
-12652,-4368,10032,3717,5267,2733,63.9,
-23612,-4252,7296,-1202,-6960,-2375,68.2,
-16436,-1964,1652,-16037,-20672,-20344,62.3,
-21568,-9324,1100,-8151,-17295,-23397,66.2,
-14732,-7704,1428,8696,-4492,-22153,65.7,
-12736,-4192,184,13301,-766,-12778,75.0,
-9420,-3816,3564,6913,4562,1666,69.5,
-15292,-2500,1760,72,10327,11666,79.2,
-15328,-7728,4352,-25359,9595,28802,62.2,
-21716,-9224,2644,5156,13978,19686,67.8,
-16932,-4768,6988,-11817,11526,8655,65.9,
-14216,-5512,9180,1361,8123,7544,68.3,
-10672,-4236,456,3260,-3919,-9628,67.3,
-11908,-4100,728,3491,3774,4069,62.8,
-10096,-6324,6240,-5412,12174,23635,79.6,
-22828,-7892,3880,11115,22688,24958,64.0,
-17520,-5440,7120,-10635,17092,14609,60.0,
-15804,-6104,8928,-3405,9957,6884,80.6,
-11528,-6572,10300,-848,2054,-530,67.2,
-17840,-4792,4448,3357,-5177,-11132,63.2,
-22932,-9384,3960,-3594,-14867,-9725,69.9,
-18460,-4088,1720,1114,-18273,-21205,68.1,
-14816,-7104,1488,998,-11755,-23449,66.6,
-11132,-3804,248,-982,-6780,-7179,68.1,
-15324,-2004,-332,-9615,-775,11980,67.8,
-12380,-12748,5276,-5373,8282,32767,76.5,
-19956,-5148,540,19981,17203,22028,67.3,
-18088,-4800,3932,-19540,8378,5786,66.5,
-11480,-9360,7276,-7437,6260,3895,62.1,
-16316,-3940,5588,6538,4603,62,68.2,
-14172,-1012,4192,-9108,-11957,-6326,65.4,
-23308,-668,-2356,-25123,-19662,-13873,74.9,
-17060,-4140,-1636,-20125,-12837,-11681,66.7,
-14848,-5524,1288,-4068,-4834,-6245,70.5,
-14880,-1912,-436,6033,-4164,5178,64.0,
-18256,-4508,-1176,-20080,-12185,18362,67.2,
-26996,-9580,-4756,-32768,-21648,25164,76.5,
-15068,-14028,512,-21329,-13187,19372,68.4,
-14844,-4096,-3412,4042,-3373,9101,68.6,
-11852,-6472,-120,-19098,1054,6879,58.8,
-11808,-6480,2376,3116,9178,5008,66.3,
-15752,-3100,3536,-7900,9669,4747,66.5,
-15532,-4236,8808,-5290,7974,2082,66.3,
-15392,-1892,7112,-4368,3037,-1540,68.1,
-14816,-3012,3956,-2016,-4311,-3270,68.9,
-16544,-6876,3040,-1145,-9543,-6428,60.3,
-20504,-6436,1248,1761,-13002,-13971,66.0,
-18136,-6076,388,-12056,-13721,-18032,68.7,
-10432,-7652,1680,-11628,-6575,-15972,64.9,
-9088,-8564,3896,4884,301,-4369,68.0,
-8720,-6428,4084,15570,6704,7838,69.5,
-16012,-7676,5980,24368,18436,13604,61.4,
-18364,-2676,-1904,-22403,6718,5271,67.4,
-13460,-9200,4976,-23006,5990,6493,73.4,
-14280,-856,4048,13343,11322,426,64.8,
-15744,428,4548,-2255,1743,1870,63.7,
-13992,-1176,3920,-5468,-5896,-839,60.6,
-18756,-6908,3068,4710,-12098,-3750,68.3,
-23404,-7332,2088,2745,-14821,-13041,66.1,
-17332,-5748,1276,-5621,-15776,-15866,68.9,
-13948,-7220,1280,1474,-9017,-15930,67.4,
-11896,-3392,2372,1807,-5422,-8816,66.6,
-11356,-6368,6104,-1757,13077,18409,79.6,
-19328,-4528,592,10391,16435,14544,64.5,
-16772,-4640,4572,-16494,11740,11400,66.7,
-14500,-4724,5868,336,10513,3374,60.5,
-13752,-3052,7728,-4575,4054,2627,71.1,
-14784,-2888,6216,4678,-1411,-2836,74.4,
-25680,-9352,7264,5719,-7591,-4716,71.4,
-22904,-6248,2580,1981,-15760,-12078,66.0,
-17500,-5732,836,-8699,-20107,-20428,67.2,
-13880,-7348,1056,-7001,-10661,-21559,80.5,
-12900,-4152,10336,1891,4615,4497,64.3,
-16524,-7016,5768,-896,-4976,-4752,57.2,
-16988,-7728,5236,2810,-12966,-13978,69.4,
-27760,-6840,-552,2820,-20216,-18850,61.2,
-16472,-8080,1372,-9714,-13603,-27172,68.3,
-11692,-5628,-924,9319,-3629,-19115,70.8,
-8904,-3404,1036,-1102,125,-3669,80.8,
-20284,-6004,1020,-2011,7575,16486,66.7,
-14432,-5784,5464,-3209,14447,28987,62.7,
-18820,-8992,5720,397,13984,24894,66.1,
-12968,-5196,6596,11382,10029,1543,63.4,
-11512,-6600,8184,-2230,651,-1115,66.4,
-30168,-7188,4812,-2056,-6855,-6269,65.2,
-18940,-8340,3188,-13734,-12131,-13898,65.3,
-16876,-6296,1252,3513,-8028,-21700,69.6,
-14400,-6580,768,7063,-4859,-18362,64.8,
-12304,-3740,1192,2458,-4221,-8070,65.2,
-12128,-4144,1720,-3538,-1510,5883,65.8,
-10176,-11204,5068,-9885,2361,27128,75.5,
-21004,-8092,3828,5714,11668,21254,63.1,
-21004,-9912,6264,254,-6355,-8090,69.8,
-20932,-7488,1864,13185,-5391,-16545,72.4,
-14888,-4412,1504,2642,-8423,-14251,75.6,
-12572,-6004,1096,4952,-4773,-10741,57.6,
-12204,-3988,856,538,-1818,-3021,70.2,
-14636,-4756,2084,-4420,702,5710,67.6,
-9944,-6220,4064,-6707,5948,17428,61.9,
-16840,-7992,7540,14263,14991,18463,67.0,
-14208,-6916,9548,6334,6754,11490,78.1,
-13896,-6056,7976,14506,-1476,-6252,72.7,
-17548,-5352,4332,13625,-8888,-7144,70.3,
-20428,-5392,380,10166,-12989,-8013,78.1,
-13928,-5200,-472,-10484,-10760,-7730,67.1,
-14132,-8600,-3436,15802,4323,-7433,64.9,
-13404,-8200,-7708,-7224,8960,6611,66.7,
-17868,-12376,-5248,32767,24744,-17222,73.2,
-22120,-3132,-1252,32767,7870,-29067,62.0,
-15704,-3676,2128,4006,-3227,-16301,57.6,
-13032,-5224,1356,-4304,-3712,-481,75.8,
-14428,-4420,1996,69,581,3586,66.9,
-16700,-5532,2040,-5206,1320,14421,68.2,
-13600,-7176,5856,6478,8042,11928,68.4,
-14500,-5044,5648,5627,6422,9106,67.0,
-14492,-7252,5980,1648,1224,1722,68.3,
-22224,-8084,3084,-2396,-2000,-7083,65.2,
-13744,-9088,3164,3108,-4235,-14159,65.4,
-15520,-4872,156,-742,-5723,-12777,71.4,
-13000,-7780,1024,7398,-1340,-10708,77.1,
-13096,-4756,676,9070,282,-1482,61.8,
-13384,-4108,820,313,314,5395,67.4,
-11340,-7216,3704,-12596,2717,14428,65.0,
-16844,-5128,1788,12187,9254,8350,63.7,
-14176,-5216,6604,-1359,7949,6186,64.5,
-12528,-4784,7636,10536,6467,3111,64.3,
-12904,-3988,5492,3419,-1617,-1012,68.3,
-15096,-5016,4112,1764,-12956,-4709,69.4,
-24136,-7800,1864,973,-12229,-11964,61.4,
-14048,-5976,1884,-2271,-10539,-15889,61.4,
-13432,-4476,208,3616,-7563,-16283,66.1,
-12972,-4824,2120,-4394,-4788,-7180,66.1,
-8948,-5344,4652,-10093,-351,17769,71.3,
-18592,-7956,5424,-1366,9210,24485,66.3,
-16796,-8304,6704,3450,15404,21994,77.5,
-13812,-5796,6384,16214,15364,11009,63.1,
-12784,-3624,6568,-302,1972,323,61.8,
-25816,-8240,7844,1533,-7685,-10773,65.7,
-22128,-6444,3508,8601,-15757,-16138,72.8,
-16852,-2588,4388,2634,-18288,-15279,66.2,
-16040,-6992,1340,-1666,-15856,-6687,60.9,
-13256,-4988,2308,-8585,-9149,-4368,66.1,
-16548,-1452,500,-1758,1229,2116,72.5,
-13772,-9820,5320,-19714,7518,27704,77.5,
-18208,-7548,2320,21561,18220,19641,71.3,
-17352,-1704,6948,-6716,16061,9840,65.0,
-14928,-5892,9920,-818,9961,7188,67.8,
-15216,-3120,7944,-4575,-1492,-457,64.8,
-22220,-8252,6616,-7991,-12865,-6527,60.7,
-24292,-8504,2892,8016,-11977,-17816,67.6,
-16352,-3852,1220,-674,-15238,-18889,79.5,
-14004,-6608,564,-406,-9480,-18221,61.1,
-11212,-3804,2380,4292,-393,24,69.5,
-9212,-7092,4000,-17452,2842,23485,59.3,
-17960,-11548,5720,10504,14516,23251,61.0,
-13664,-6304,6416,5284,15629,15443,68.4,
-14324,-7200,7824,2566,9796,7504,69.9,
-12424,-4476,8940,-1293,-10,-1151,68.9,
-14500,-5032,4484,-7647,-8097,-7314,74.8,
-19724,-10140,3480,-4389,-11047,-13715,65.4,
-17180,-5936,1532,1146,-11456,-20227,78.6,
-12932,-5932,1480,4061,-5131,-21867,66.6,
-13620,-5072,7512,397,11597,26076,70.8,
-16296,-8468,8140,4003,10673,20336,66.2,
-14644,-6300,10056,10360,9137,12769,68.3,
-15576,-8096,8872,8727,1726,5788,66.1,
-15448,-9744,7768,17208,-2697,-4019,66.8,
-20120,-4420,-3720,27332,-10927,-7952,62.2,
-16628,-10220,-6484,23652,-10623,-5374,67.7,
-13052,-10616,-7452,21880,1314,-3187,63.2,
-18200,-9804,-4376,21160,1550,-9194,70.4,
-17600,-3848,-2944,4314,-3372,-18367,64.8,
-14812,-6868,284,9847,5455,-15987,65.6,
-20888,-2832,-468,21270,4944,-11044,64.4,
-17696,724,1440,-4915,-590,-2028,67.5,
-13744,-2888,2992,865,3913,9054,78.8,
-15412,-5504,3880,5907,8212,15169,63.6,
-16008,-5640,6536,8642,9557,13448,68.5,
-21124,-6800,6284,2042,3361,6118,73.9,
-10308,-6148,4104,5659,-5093,-8311,67.6,
-19496,-4732,1792,3861,-12491,-12856,67.8,
-16516,-6476,1596,-2707,-11244,-17263,59.6,
-17668,-5968,1652,801,-6277,-13452,67.4,
-19536,-2020,-1644,-2407,-4637,-1781,62.9,
-8400,-4316,4468,-2715,5945,7448,68.7,
-12460,-4552,3552,4674,12255,18900,64.0,
-16316,-6224,6000,-3311,14710,19979,61.0,1.0
-9916,-7728,6468,-4401,5805,9928,64.9,1.0
-5176,-5860,6504,6637,1420,-3426,68.3,1.0
-18988,-10828,8476,17095,-3094,-10404,61.8,1.0
-22036,-5468,5932,32767,-21810,-20382,61.3,1.0
-1592,-4000,3880,-14400,-25076,-11998,62.7,1.0
11820,-9012,30592,-4422,7610,2427,62.7,1.0
-13156,-9012,10192,-9567,12001,5544,62.7,1.0
-15000,5304,460,-5306,-2744,8788,64.5,1.0
-10208,-10600,10900,165,-2612,13253,57.0,1.0
-15968,-7144,2340,-14106,-7933,31712,67.4,1.0
-27876,-9572,6156,-27939,-15414,32767,68.8,1.0
68,-472,19536,-6921,-15014,28658,64.6,1.0
1372,-13428,7828,4990,-20828,32331,64.6,1.0
5652,1488,5800,5586,-21453,19961,70.3,1.0
9176,2308,8168,3176,-18783,19254,65.7,1.0
15228,-5564,7960,-15909,-18031,12183,59.9,1.0
16104,-3612,3092,2032,-9949,8719,72.3,1.0
14616,-7560,3492,156,-6125,11106,72.3,1.0
16692,-5176,-2028,1673,-264,11638,109.8,1.0
19776,-11576,4120,14000,8182,15858,66.6,1.0
7976,-7036,7692,4669,8877,7617,68.9,1.0
9840,-13888,8204,5670,7224,5044,73.1,1.0
5124,-8112,8004,-7347,9365,5386,82.9,1.0
2548,-14356,15060,-1411,8311,11688,82.9,1.0
2372,-13248,8020,-14920,-5464,1091,73.2,1.0
3368,-19156,8400,-1729,-30,673,81.0,1.0
2464,-13852,6680,-1010,-297,513,75.9,1.0
2404,-14792,6424,-2748,-769,529,66.3,1.0
2456,-15152,6088,-454,-39,48,75.0,1.0
2456,-14704,6152,-770,-196,183,75.6,1.0
